IP Address,Reputation,Latitude,Longitude
134.209.218.203,Malicious Host US,,
206.189.111.16,Malicious Host NL,,
101.181.40.233,Malicious Host AU,-33.4939994812,143.210403442
183.82.144.126,Malicious Host IN,,
113.246.130.182,Malicious Host CN,,
186.33.90.249,Malicious Host DO,,
45.229.54.55,Malicious Host BR,,
120.193.91.215,Malicious Host CN,,
120.85.116.133,Malicious Host CN,,
121.46.232.130,Malicious Host CN,31.0456008911,121.39969635
120.240.48.83,Malicious Host CN,34.7724990845,113.726600647
120.85.113.42,Malicious Host CN,,
119.191.217.155,Malicious Host CN,36.0985984802,120.371902466
120.85.116.238,Malicious Host CN,,
222.240.117.88,Malicious Host CN,,
61.242.58.246,Malicious Host CN,,
27.215.109.196,Malicious Host CN,36.0985984802,120.371902466
178.72.70.88,Malicious Host RU,,
187.45.116.162,Malicious Host BR,,
198.98.62.43,Malicious Host US,,
112.5.37.160,Malicious Host CN,,
61.242.40.229,Malicious Host CN,,
181.199.162.7,Malicious Host AR,,
61.242.58.14,Malicious Host CN,,
27.43.178.112,Malicious Host CN,23.1166992188,113.25
157.61.212.95,Malicious Host CN,,
78.187.196.38,Malicious Host TR,,
1.246.223.191,Malicious Host KR,,
112.248.109.159,Malicious Host CN,36.0985984802,120.371902466
120.86.238.47,Malicious Host CN,,
185.68.230.207,Malicious Host ,23.0333003998,113.716697693
80.243.181.81,Malicious Host GB,51.4963989258,-0.122400000691
120.85.115.175,Malicious Host CN,,
27.21.147.209,Malicious Host CN,,
123.10.15.34,Malicious Host CN,34.6836013794,113.532501221
112.239.120.150,Malicious Host CN,36.0985984802,120.371902466
181.176.155.25,Malicious Host PE,-12.043299675,-77.0282974243
112.31.211.135,Malicious Host CN,34.7724990845,113.726600647
178.72.70.239,Malicious Host RU,,
120.85.118.169,Malicious Host CN,,
103.104.106.223,Malicious Host CN,34.7724990845,113.726600647
120.238.189.72,Malicious Host CN,34.7724990845,113.726600647
80.243.181.119,Malicious Host GB,51.4963989258,-0.122400000691
27.35.154.75,Malicious Host KR,,
120.85.116.17,Malicious Host CN,,
103.170.92.22,Malicious Host ,23.1166992188,113.25
112.94.96.114,Malicious Host CN,,
27.197.24.223,Malicious Host CN,36.0985984802,120.371902466
201.184.16.244,Malicious Host CO,4.59810018539,-74.0757980347
114.236.52.101,Malicious Host CN,32.0616989136,118.777801514
183.237.146.175,Malicious Host CN,,
116.212.156.31,Malicious Host KH,13.0,105.0
61.129.101.38,Malicious Host CN,34.7724990845,113.726600647
80.82.65.247,Malicious Host SC,-4.58330011368,55.6666984558
112.27.124.158,Malicious Host CN,34.7724990845,113.726600647
123.11.152.93,Malicious Host CN,,
61.242.58.12,Malicious Host CN,,
101.65.131.144,Malicious Host CN,,
2.106.156.53,Malicious Host ,27.9993991852,120.666801453
157.61.212.82,Malicious Host CN,,
157.61.212.109,Malicious Host CN,,
14.111.220.134,Malicious Host CN,29.5627994537,106.55280304
69.176.89.226,Malicious Host US,,
163.125.211.103,Malicious Host CN,,
120.85.116.69,Malicious Host CN,,
39.74.177.167,Malicious Host CN,36.0985984802,120.371902466
61.242.58.135,Malicious Host CN,,
112.94.99.139,Malicious Host CN,,
112.30.4.73,Malicious Host CN,34.7724990845,113.726600647
157.61.212.84,Malicious Host CN,,
103.91.245.48,Malicious Host IN,20.0,77.0
178.72.70.207,Malicious Host RU,,
61.242.54.211,Malicious Host CN,,
112.86.255.100,Malicious Host CN,,
61.242.40.206,Malicious Host CN,,
27.203.233.132,Malicious Host CN,36.0985984802,120.371902466
27.215.122.160,Malicious Host CN,36.0985984802,120.371902466
89.208.122.213,Malicious Host RU,55.7386016846,37.6068000793
61.242.58.197,Malicious Host CN,,
185.232.64.32,Malicious Host RO,,
157.61.212.122,Malicious Host CN,,
193.169.252.166,Malicious Host PL,52.2393989563,21.0361995697
120.85.117.207,Malicious Host CN,,
51.15.246.104,Malicious Host FR,48.8582000732,2.33870005608
164.155.88.34,Malicious Host US,,
44.192.244.178,Malicious Host US,37.7509994507,-97.8219985962
120.85.115.197,Malicious Host CN,,
125.128.28.181,Malicious Host KR,,
120.193.91.183,Malicious Host CN,,
46.101.13.94,Malicious Host GB,,
223.159.88.8,Malicious Host CN,28.1791992188,113.113601685
125.127.139.69,Malicious Host CN,,
110.35.227.222,Malicious Host KR,37.5111999512,126.974098206
119.29.119.174,Malicious Host CN,,
202.164.139.168,Malicious Host IN,,
112.94.101.203,Malicious Host CN,,
71.68.229.247,Malicious Host US,,
45.229.55.57,Malicious Host BR,,
101.181.114.172,Malicious Host AU,-33.4939994812,143.210403442
120.85.112.133,Malicious Host CN,,
112.94.98.57,Malicious Host CN,,
27.217.163.40,Malicious Host CN,,
120.85.115.60,Malicious Host CN,,
219.136.172.161,Malicious Host CN,,
120.85.118.227,Malicious Host CN,,
120.85.118.235,Malicious Host CN,,
117.208.51.51,Malicious Host IN,20.0,77.0
114.246.35.129,Malicious Host CN,,
86.175.105.80,Malicious Host GB,,
